mob:mobs_mc:donkey,1.0-1.7
mob:mobs_mc:mule,1.0-1.7
mob:mobs_mc:skeleton_horse,1.0-1.7
mob:mobs_mc:zombie_horse,1.0-1.7
mob:mobs_mc:endermite,1.8-1.12
mob:mobs_mc:guardian,1.8-1.12
mob:mobs_mc:guardian_elder,1.8-1.12
mob:mobs_mc:killer_bunny,1.8-1.12
mob:mobs_mc:llama,1.8-1.12
mob:mobs_mc:parrot,1.8-1.12
mob:mobs_mc:polar_bear,1.8-1.12
mob:mobs_mc:rabbit,1.8-1.12
mob:mobs_mc:shulker,1.8-1.12
mob:mobs_mc:evoker,1.8-1.12
mob:mobs_mc:vex,1.8-1.12
mob:mobs_mc:vindicator,1.8-1.12
mob:mobs_mc:husk,1.8-1.12
mob:mobs_mc:stray,1.8-1.12
mob:mobs_mc:cod,1.13
mob:mobs_mc:dolphin,1.13
mob:mobs_mc:drowned,1.13
mob:mobs_mc:baby_drowned,1.13
mob:mobs_mc:pufferfish,1.13
mob:mobs_mc:salmon,1.13
mob:mobs_mc:tropical_fish,1.13
mob:mobs_mc:cat,1.14-1.15
mob:mobs_mc:pillager,1.14-1.15
mob:mobs_mc:ravager,1.14-1.15
mob:mobs_mc:trader_llama,1.14-1.15
mob:mobs_mc:wandering_trader,1.14-1.15
mob:mobs_mc:illusioner,1.14-1.15
mob:mobs_mc:hoglin,1.16
mob:mobs_mc:baby_hoglin,1.16
mob:mobs_mc:piglin,1.16
mob:mobs_mc:piglin_brute,1.16
mob:mobs_mc:strider,1.16
mob:mobs_mc:baby_strider,1.16
mob:mobs_mc:zoglin,1.16
mob:mobs_mc:baby_zoglin,1.16
mob:mobs_mc:zombified_piglin,1.16
mob:mobs_mc:axolotl,1.17-1.18
mob:mobs_mc:glow_squid,1.17-1.18
# ---- Structures (registered via mcl_structures.register_structure) ----
structure:ancient_hermitage,1.21+
structure:boulder,1.8-1.12
structure:cold_ocean_ruins,1.13
structure:desert_temple,1.0-1.7
structure:desert_well,1.0-1.7
structure:end_boat,1.8-1.12
structure:end_exit_portal,1.0-1.7
structure:end_exit_portal_deferred,1.0-1.7
structure:end_exit_portal_open,1.0-1.7
structure:end_gateway_portal,1.8-1.12
structure:end_shipwreck,1.8-1.12
structure:end_spawn_obsidian_platform,1.0-1.7
structure:end_spike,1.0-1.7
structure:fossil,1.8-1.12
structure:geode,1.17-1.18
structure:ice_spike_large,1.0-1.7
structure:ice_spike_small,1.0-1.7
structure:igloo,1.8-1.12
structure:jungle_temple,1.0-1.7
structure:ocean_temple,1.8-1.12
structure:pillager_outpost,1.14-1.15
structure:ruined_portal_nether,1.16
structure:ruined_portal_overworld,1.16
structure:shipwreck,1.13
structure:small_end_city,1.8-1.12
structure:warm_ocean_ruins,1.13
structure:witch_hut,1.0-1.7
structure:woodland_cabin,extra
